Municipality,County,Year,Electric Utility,Residential Electricity,Commercial Electricity,Industrial Electricity,Street Lighting Electricity,Total Electricity (kWh),Natural Gas Utility,Residential Natural Gas,Commercial Natural Gas,Industrial Natural Gas,Street Lighting Natural Gas,Total Natural Gas (Therms)
Margate City,Atlantic,2018,ACE,"48,233,517","19,865,096",NDA,"543,125","68,641,738",SJG,"9,378,720","1,828,326",NDA,NDA,"11,207,046"
Margate City,Atlantic,2019,ACE,"46,606,630","19,116,838",NDA,"546,429","66,269,897",SJG,"8,297,757","1,675,821",NDA,NDA,"9,973,578"
Margate City,Atlantic,2020,ACE,"48,433,501","16,569,946",NDA,"542,657","65,546,104",SJG,"7,594,332","1,523,698",NDA,NDA,"9,118,031"
Margate City,Atlantic,2021,ACE,"48,554,019","17,780,064",NDA,"548,152","66,882,235",SJG,"8,446,920","1,641,415",NDA,NDA,"10,088,334"
Margate City,Atlantic,2022,ACE,"45,996,757","17,624,502",NDA,"554,599","64,175,858",SJG,"8,107,805","1,606,757",NDA,NDA,"9,714,562"
Mullica Township,Atlantic,2016,ACE,"22,359,804","5,447,855","254,305","76,965","28,138,929",SJG,"1,010,290","143,969","2,062",NDA,"1,156,321"
Mullica Township,Atlantic,2017,ACE,"21,237,135","5,636,917","145,919","78,165","27,098,136",SJG,"1,034,133","122,822","1,907",NDA,"1,158,863"
Mullica Township,Atlantic,2018,ACE,"22,170,073","5,939,074","121,732","84,304","28,315,183",SJG,"1,259,137","146,760","2,815",NDA,"1,408,712"
Mullica Township,Atlantic,2019,ACE,"20,646,119","6,036,758","74,522","84,850","26,842,249",SJG,"1,231,342","182,366","2,340",NDA,"1,416,048"
Mullica Township,Atlantic,2020,ACE,"20,410,402","5,885,411","55,155","84,289","26,435,257",SJG,"1,141,105","217,287","1,858",NDA,"1,360,250"
Mullica Township,Atlantic,2021,ACE,"21,000,495","6,312,523","53,928","84,052","27,450,998",SJG,"1,258,101","223,166","1,508",NDA,"1,482,774"
Mullica Township,Atlantic,2022,ACE,"21,011,031","6,443,438","55,003","84,305","27,593,777",SJG,"1,308,531","245,041","2,503",NDA,"1,556,075"
Northfield City,Atlantic,2016,ACE,"30,547,729","34,213,383",NDA,"425,175","65,186,287",SJG,"4,593,321","2,376,063",NDA,NDA,"6,969,385"
Northfield City,Atlantic,2017,ACE,"27,853,999","32,593,377",NDA,"431,150","60,878,526",SJG,"4,737,873","2,310,512",NDA,NDA,"7,048,386"
Northfield City,Atlantic,2018,ACE,"29,320,641","33,235,470",NDA,"432,494","62,988,605",SJG,"5,611,703","2,531,024",NDA,NDA,"8,142,727"
Northfield City,Atlantic,2019,ACE,"27,802,897","32,384,735",NDA,"435,553","60,623,185",SJG,"5,208,112","2,371,633",NDA,NDA,"7,579,744"
Northfield City,Atlantic,2020,ACE,"27,728,861","28,244,078",NDA,"432,473","56,405,412",SJG,"4,831,750","1,962,553",NDA,NDA,"6,794,304"
Northfield City,Atlantic,2021,ACE,"28,321,899","29,245,831",NDA,"439,368","58,007,098",SJG,"5,245,334","2,218,316",NDA,NDA,"7,463,650"
Northfield City,Atlantic,2022,ACE,"27,580,612","28,475,863",NDA,"440,886","56,497,361",SJG,"5,250,717","2,197,984",NDA,NDA,"7,448,701"
Pleasantville City,Atlantic,2016,ACE,"48,018,742","62,075,732","225,814","880,923","111,201,211",SJG,"11,033,205","4,642,263","1,691,386",NDA,"17,366,855"
Pleasantville City,Atlantic,2017,ACE,"44,744,219","58,430,812","216,492","895,047","104,286,570",SJG,"11,866,001","5,077,719","2,082,524",NDA,"19,026,244"
Pleasantville City,Atlantic,2018,ACE,"47,702,407","58,088,823","661,342","914,056","107,366,628",SJG,"12,767,085","6,001,866","2,118,917",NDA,"20,887,868"
Pleasantville City,Atlantic,2019,ACE,"45,512,663","56,792,182","601,281","915,238","103,821,364",SJG,"10,555,331","6,533,420","1,542,636",NDA,"18,631,387"
Pleasantville City,Atlantic,2020,ACE,"46,222,721","50,076,210","533,463","903,240","97,735,634",SJG,"7,996,898","4,610,983","1,410,213",NDA,"14,018,095"
Pleasantville City,Atlantic,2021,ACE,"46,578,791","52,484,309","120,834","895,405","100,079,339",SJG,"8,408,809","4,863,535","1,888,732",NDA,"15,161,076"
Pleasantville City,Atlantic,2022,ACE,"46,884,563","55,636,092","115,522","899,290","103,535,467",SJG,"8,820,181","4,946,186","1,356,567",NDA,"15,122,934"
Port Republic City,Atlantic,2016,ACE,"6,913,297","2,201,373",NDA,"55,585","9,170,255",SJG,"16,024",NDA,NDA,NDA,"16,024"
Port Republic City,Atlantic,2017,ACE,"6,476,947","2,176,392",NDA,"60,544","8,713,883",SJG,"16,950",NDA,NDA,NDA,"16,950"
Port Republic City,Atlantic,2018,ACE,"6,969,492","2,330,301",NDA,"62,229","9,362,022",SJG,"18,858",NDA,NDA,NDA,"18,858"
Port Republic City,Atlantic,2019,ACE,"6,482,229","2,272,057",NDA,"62,446","8,816,732",SJG,"15,863",NDA,NDA,NDA,"15,863"
Port Republic City,Atlantic,2020,ACE,"6,170,203","1,985,648",NDA,"63,174","8,219,025",SJG,"19,407",NDA,NDA,NDA,"19,407"
Port Republic City,Atlantic,2021,ACE,"6,064,544","2,099,617",NDA,"63,443","8,227,604",SJG,"21,877",NDA,NDA,NDA,"21,877"
Port Republic City,Atlantic,2022,ACE,"6,193,458","2,166,970",NDA,"63,581","8,424,009",SJG,"29,717",NDA,NDA,NDA,"29,717"
Somers Point City,Atlantic,2016,ACE,"37,250,975","62,896,459","498,586","381,277","101,027,297",SJG,"4,711,941","11,512,412",781,NDA,"16,225,134"
Somers Point City,Atlantic,2017,ACE,"34,139,059","60,441,032","489,659","387,865","95,457,615",SJG,"4,685,823","10,869,087","1,067",NDA,"15,555,977"
Somers Point City,Atlantic,2018,ACE,"33,278,771","57,111,265","449,469","390,355","91,229,860",SJG,"4,707,735","11,062,796","1,089",NDA,"15,771,619"
Somers Point City,Atlantic,2019,ACE,"34,537,749","59,294,751","406,237","392,963","94,631,700",SJG,"5,124,170","10,762,530","1,140",NDA,"15,887,840"
Somers Point City,Atlantic,2020,ACE,"33,237,475","51,635,159","200,132","390,327","85,463,093",SJG,"4,224,520","10,268,597","1,089",NDA,"14,494,206"
Somers Point City,Atlantic,2021,ACE,"35,722,207","56,387,151","27,360","389,060","92,525,778",SJG,"5,128,128","10,708,346","1,310",NDA,"15,837,783"
Somers Point City,Atlantic,2022,ACE,"32,759,418","53,787,329","103,920","390,354","87,041,021",SJG,"4,593,721","9,685,216",840,NDA,"14,279,778"
Ventnor City,Atlantic,2016,ACE,"42,643,624","22,792,388","9,369","905,274","66,350,655",SJG,"7,050,185","8,596,797",NDA,NDA,"15,646,982"
Ventnor City,Atlantic,2017,ACE,"39,642,613","24,960,306","6,716","906,062","65,515,697",SJG,"7,262,102","8,818,098",NDA,NDA,"16,080,200"
Ventnor City,Atlantic,2018,ACE,"43,739,120","26,248,258","5,700","896,128","70,889,206",SJG,"8,737,200","9,878,794",NDA,NDA,"18,615,993"
Ventnor City,Atlantic,2019,ACE,"42,326,195","24,470,980","4,575","901,029","67,702,779",SJG,"7,920,743","9,414,270",NDA,NDA,"17,335,012"
Ventnor City,Atlantic,2020,ACE,"43,256,613","22,438,651",NDA,"895,825","66,591,089",SJG,"7,063,312","8,718,511",NDA,NDA,"15,781,824"
Ventnor City,Atlantic,2021,ACE,"43,457,983","23,906,842",NDA,"894,572","68,259,397",SJG,"7,858,576","9,231,975",NDA,NDA,"17,090,551"
Ventnor City,Atlantic,2022,ACE,"41,510,932","21,726,754",NDA,"897,602","64,135,288",SJG,"7,622,737","8,895,675",NDA,NDA,"16,518,412"
Weymouth Township,Atlantic,2016,ACE,"11,012,544","2,286,358","41,240","56,113","13,396,255",SJG,"262,983","19,745",NDA,NDA,"282,728"
Weymouth Township,Atlantic,2017,ACE,"10,532,897","2,195,412","35,680","56,113","12,820,102",SJG,"283,340","22,020",NDA,NDA,"305,359"
Weymouth Township,Atlantic,2018,ACE,"11,352,337","2,304,410","32,400","56,113","13,745,260",SJG,"338,108","25,263",NDA,NDA,"363,371"
Weymouth Township,Atlantic,2019,ACE,"10,916,380","2,165,056","34,160","56,115","13,171,711",SJG,"317,875","27,114",NDA,NDA,"344,988"
Weymouth Township,Atlantic,2020,ACE,"10,934,301","1,915,107","35,040","56,113","12,940,561",SJG,"291,030","21,638",NDA,NDA,"312,669"
Weymouth Township,Atlantic,2021,ACE,"11,057,222","1,930,636","33,720","56,112","13,077,690",SJG,"323,471","25,614",NDA,NDA,"349,085"
Weymouth Township,Atlantic,2022,ACE,"10,881,878","2,039,490","30,640","56,113","13,008,121",SJG,"327,287","19,453",NDA,NDA,"346,741"
Allendale Borough,Bergen,2016,RECO/PSEG,"28,068,829","31,480,444",NDA,NDA,"59,549,273",PSEG,"3,225,860","1,137,864","14,268",NDA,"4,377,992"
Allendale Borough,Bergen,2017,RECO/PSEG,"26,736,094","31,173,292",NDA,NDA,"57,909,386",PSEG,"3,387,689","1,127,450","15,649",NDA,"4,530,788"
Allendale Borough,Bergen,2018,RECO/PSEG,"28,070,368","30,061,589",NDA,"112,628","58,244,585",PSEG,"3,704,200","1,316,375","13,044",NDA,"5,033,619"
Allendale Borough,Bergen,2019,RECO/PSEG,"26,663,680","28,432,955",NDA,"112,436","55,209,071",PSEG,"3,597,916","1,269,140","11,524",NDA,"4,878,580"
Allendale Borough,Bergen,2020,RECO/PSEG,"28,392,440","26,121,007",NDA,"113,678","54,627,125",PSEG,"3,385,514","1,150,530","3,332",NDA,"4,539,376"
