Year,County,Total:,"    Bottled, tank, or LP gas",    Coal or coke,    Electricity,"    Fuel oil, kerosene, etc.",    No fuel used,    Other fuel,    Solar energy,    Utility gas,    Wood,Latitude,Longitude
2019,Mercer County,"130,851","1,727",61,"21,959","7,924",389,635,117,"97,850",189,40.28,-74.722
2019,Middlesex County,"285,906","5,099",0,"36,245","11,868","1,747","1,337",240,"229,213",157,40.436,-74.407
2019,Monmouth County,"240,377","2,813",224,"31,977","7,996",778,365,272,"195,459",493,40.312,-74.12
2019,Morris County,"184,885","4,478",0,"19,920","28,320",399,846,115,"130,381",426,40.86,-74.545
2019,New Jersey,"3,286,264","71,419","1,220","448,114","241,742","20,499","13,323","5,284","2,474,295","10,368",39.833851,-74.871826
2019,Ocean County,"226,725","1,511",0,"30,391","10,626",525,347,690,"181,943",692,39.965,-74.196
2019,Passaic County,"168,059","3,859",0,"12,249","7,617",474,585,144,"142,647",484,41.032,-74.304
2019,Salem County,"24,404","1,436",12,"2,964","6,465",0,122,271,"12,857",277,39.587,-75.363
2019,Somerset County,"122,606","1,529",0,"13,008","7,254",713,361,188,"99,303",250,40.566,-74.624
2019,Sussex County,"54,099","5,939",121,"6,337","28,773",448,664,28,"9,907","1,882",41.128,-74.663
2019,Union County,"192,848","2,091",0,"18,493","8,871",926,628,510,"161,329",0,40.659,-74.31
2019,Warren County,"42,397","1,802",200,"4,493","13,591",300,569,0,"20,653",789,40.847,-75
2021,Atlantic County,"112,299","3,276",0,"18,692","7,407","1,199",659,947,"79,294",825,39.533,-74.646
2021,Bergen County,"352,030","8,966",0,"54,987","14,681","1,712","3,209",146,"268,191",138,40.959,-74.074
2021,Burlington County,"175,859","3,084",44,"35,919","13,076","1,295",355,"1,042","120,266",778,39.855,-74.686
2021,Camden County,"201,158","3,109",383,"35,846","8,305","1,091",950,410,"150,913",151,39.809,-74.963
2021,Cape May County,"48,860","2,148",0,"10,324","1,421",936,"1,054",14,"32,963",0,39.105,-74.827
2021,Cumberland County,"53,883","2,701",42,"5,452","9,309",67,416,199,"35,249",448,39.371,-75.056
2021,Essex County,"322,453","7,947",114,"54,112","14,757","7,115","2,602",309,"235,497",0,40.794,-74.264
2021,Gloucester County,"112,502","2,453",0,"13,347","10,517",217,246,236,"85,188",298,39.71,-75.107
2021,Hudson County,"292,000","8,164",0,"74,890","10,689","6,196","2,338",675,"188,934",114,40.735,-74.045
2021,Hunterdon County,"51,292","4,800",61,"5,329","15,136",86,523,29,"24,015","1,313",40.566,-74.974
2021,Mercer County,"143,970","1,834",0,"29,149","7,342",985,919,195,"103,454",92,40.28,-74.722
2021,Middlesex County,"307,831","6,433",73,"48,066","9,810","1,600",946,584,"240,266",53,40.436,-74.407
2021,Monmouth County,"250,738","3,887",83,"31,517","8,242","2,080","1,763",694,"202,232",240,40.312,-74.12
2021,Morris County,"192,847","5,696",0,"23,257","28,828","1,087",428,267,"132,915",369,40.86,-74.545
2021,New Jersey,"3,497,945","87,258","1,624","555,363","240,765","30,928","19,506","7,643","2,545,038","9,820",39.833851,-74.871826
2021,Ocean County,"240,736","3,963",0,"36,955","10,673",932,245,332,"186,997",639,39.965,-74.196
2021,Passaic County,"177,063","4,179",545,"18,803","7,833",763,344,127,"144,405",64,41.032,-74.304
2021,Salem County,"24,973","1,546",32,"3,956","6,646",156,169,135,"11,877",456,39.587,-75.363
2021,Somerset County,"130,939","1,430",0,"16,624","6,426",942,396,"1,037","103,938",146,40.566,-74.624
2021,Sussex County,"58,767","6,029",134,"10,574","27,713",136,874,92,"11,030","2,185",41.128,-74.663
2021,Union County,"201,392","3,211",113,"22,660","7,650","2,142",797,173,"164,646",0,40.659,-74.31
2021,Warren County,"46,353","2,402",0,"4,904","14,304",191,273,0,"22,768","1,511",40.847,-75
2022,Atlantic County,"106,972","3,489",0,"19,601","5,836",487,836,930,"75,362",431,39.533,-74.646
2022,Bergen County,"354,937","11,344",0,"59,742","15,345","3,654","2,614",396,"261,610",232,40.959,-74.074
2022,Burlington County,"176,334","4,043",0,"32,849","13,322","1,007","1,122",900,"122,302",789,39.855,-74.686
2022,Camden County,"203,530","2,643",0,"34,324","8,515","2,414",661,689,"154,125",159,39.809,-74.963
2022,Cape May County,"48,563","2,362",0,"10,183","1,406",608,509,225,"33,039",231,39.105,-74.827
2022,Cumberland County,"54,961","1,683",0,"6,787","11,452",640,277,40,"33,603",479,39.371,-75.056
2022,Essex County,"321,371","8,629",0,"54,487","13,009","4,347","2,535",705,"237,659",0,40.794,-74.264
2022,Gloucester County,"111,781","1,398",0,"13,038","8,578",560,238,262,"87,170",537,39.71,-75.107
2022,Hudson County,"304,526","8,115",0,"85,053","6,650","6,226","2,256",232,"195,994",0,40.735,-74.045
2022,Hunterdon County,"50,515","3,647",77,"4,399","15,287",101,566,246,"24,801","1,391",40.566,-74.974
2022,Mercer County,"144,989","2,154",94,"27,341","8,843","1,571",200,136,"104,562",88,40.28,-74.722
2022,Middlesex County,"306,950","4,657",0,"49,158","9,435","2,518",492,293,"240,201",196,40.436,-74.407
2022,Monmouth County,"253,767","4,728",0,"33,571","7,946","1,250",771,557,"204,600",344,40.312,-74.12
2022,Morris County,"194,141","5,429",53,"22,039","25,664","1,160",838,464,"137,887",607,40.86,-74.545
