Year,County,Total:,"    $10,000 to $14,999","    $100,000 to $124,999","    $125,000 to $149,999","    $15,000 to $19,999","    $150,000 to $199,999","    $20,000 to $24,999","    $200,000 or more","    $25,000 to $29,999","    $30,000 to $34,999","    $35,000 to $39,999","    $40,000 to $44,999","    $45,000 to $49,999","    $50,000 to $59,999","    $60,000 to $74,999","    $75,000 to $99,999","    Less than $10,000"
2014,Passaic,"159,309","7,090","15,918","9,760","7,360","12,322","8,384","11,334","6,507","7,069","6,020","7,813","5,281","10,635","11,406","17,988","14,422"
2014,Salem,"23,832","1,240","2,226","1,548","1,310","1,509","1,355",932,854,"1,974",694,760,712,"1,894","2,298","3,207","1,319"
2014,Somerset,"117,482","2,302","14,009","9,883","2,309","12,539","3,758","22,547","2,440","3,049","3,171","4,094","4,312","6,267","8,871","15,354","2,577"
2014,Sussex,"54,174","1,449","6,880","4,455","1,410","5,082","1,814","5,461","1,327","2,361","1,867","1,626","1,531","4,439","5,594","7,532","1,346"
2014,Union,"186,037","6,144","19,160","9,547","7,508","15,000","8,049","21,059","6,780","8,822","7,328","7,487","5,734","12,691","16,717","21,889","12,122"
2014,Warren,"41,607","1,134","5,196","3,518","1,488","3,086","1,848","2,929","1,471","1,388","1,015","2,008","1,824","2,942","5,128","4,908","1,724"
2015,Atlantic,"101,813","4,936","9,194","5,093","5,874","6,433","4,398","5,700","5,503","5,845","4,274","5,104","5,358","8,649","7,897","11,532","6,023"
2015,Bergen,"336,675","8,750","35,692","28,456","10,153","37,619","10,576","53,292","8,449","11,867","10,059","9,648","8,761","21,621","29,340","36,687","15,705"
2015,Burlington,"163,505","4,473","18,641","12,285","4,221","14,000","6,734","13,787","4,923","7,179","5,532","7,778","6,539","11,416","16,307","22,898","6,792"
2015,Camden,"185,113","7,725","19,350","13,859","8,201","13,130","7,505","12,164","7,267","7,320","7,481","7,258","8,527","12,122","15,864","23,306","14,034"
2015,Cape May,"38,708","1,659","3,242","1,776","2,063","2,396","2,082","2,036","1,756","1,876","1,676","1,810","2,233","2,982","3,689","5,496","1,936"
2015,Cumberland,"50,380","2,088","4,498","3,205","2,729","1,699","2,305","1,101","2,668","2,545","2,852","2,024","2,350","4,205","5,361","5,859","4,891"
2015,Essex,"279,874","17,159","20,452","12,645","15,645","16,974","14,973","28,137","14,798","12,879","10,711","10,036","9,269","18,937","22,158","26,764","28,337"
2015,Gloucester,"103,876","3,412","11,651","7,624","3,058","9,993","5,387","8,023","3,282","4,105","3,366","4,195","2,941","6,260","10,238","16,554","3,787"
2015,Hudson,"255,508","12,301","23,199","14,265","12,105","18,895","12,688","21,200","10,485","10,639","8,872","9,794","8,965","17,201","24,611","26,912","23,376"
2015,Hunterdon,"47,057",623,"5,919","3,677","1,453","5,410","1,275","9,698","1,072","1,005","1,100",686,737,"2,883","3,870","5,729","1,920"
2015,Mercer,"127,965","3,922","10,728","9,272","6,407","10,880","4,267","15,397","4,197","5,536","5,599","4,547","3,478","8,554","11,732","16,158","7,291"
2015,Middlesex,"280,855","9,020","32,029","22,052","8,658","24,682","10,107","30,237","8,662","11,154","9,993","9,935","9,232","19,728","27,297","36,468","11,601"
2015,Monmouth,"234,365","7,018","23,840","18,713","8,355","24,619","10,508","35,078","7,937","7,132","6,722","6,892","6,105","14,299","17,373","29,382","10,392"
2015,Morris,"179,480","3,429","18,648","15,292","4,872","22,341","4,935","35,580","3,784","4,597","4,933","5,167","4,371","9,964","15,160","21,652","4,755"
2015,Ocean,"222,497","6,974","24,595","14,002","10,556","15,582","11,289","13,172","9,934","10,922","10,845","8,521","9,392","15,796","24,772","26,369","9,776"
2015,Passaic,"157,309","8,796","13,351","9,746","8,531","11,561","7,804","9,893","6,942","7,972","6,288","6,540","4,821","8,924","12,931","18,836","14,373"
2015,Salem,"22,747",913,"2,598","2,053",804,"1,670",621,902,499,"1,051",575,"1,081","1,291","1,626","1,861","3,521","1,681"
2015,Somerset,"117,198","2,324","12,548","9,093","2,760","13,379","3,956","22,783","3,375","2,623","2,737","3,498","2,603","6,932","9,205","16,018","3,364"
2015,Sussex,"53,190",996,"6,700","4,559","1,472","6,266","2,481","4,705","1,602","1,584","1,505","1,424","1,825","3,299","5,459","8,149","1,164"
2015,Union,"188,035","5,714","19,122","11,368","7,810","15,226","9,151","20,425","6,977","8,272","8,206","6,869","6,890","10,360","19,019","23,988","8,638"
2015,Warren,"41,813","1,471","4,557","3,334","1,101","3,119","1,802","3,174","2,308","2,343","1,070","2,409",978,"3,364","3,713","5,890","1,180"
2016,Atlantic,"96,777","5,365","9,113","5,104","5,224","7,205","5,905","4,721","3,169","5,038","5,302","4,373","4,134","5,676","9,322","11,623","5,503"
2016,Bergen,"337,227","10,638","35,527","26,354","9,829","38,439","9,032","59,642","10,703","8,947","9,186","9,703","10,349","17,304","25,752","41,810","14,012"
2016,Burlington,"165,862","3,581","19,100","12,971","4,189","15,437","6,615","17,781","5,118","5,793","4,556","6,899","5,348","13,420","17,175","22,980","4,899"
2016,Camden,"185,512","8,840","17,082","11,953","8,707","14,451","7,547","14,267","7,484","6,917","7,226","6,208","6,780","12,321","17,911","25,725","12,093"
2016,Cape May,"38,895","2,226","4,324","2,685","1,688","2,347","1,625","2,497","2,217","1,626","1,654","1,689","1,054","3,232","4,018","4,213","1,800"
2016,Cumberland,"50,787","3,927","3,612","1,932","2,912","1,790","2,802","1,229","2,762","2,152","2,249","1,779","2,061","3,298","5,588","7,634","5,060"
2016,Essex,"280,734","16,033","21,788","13,270","16,898","18,292","13,485","29,145","13,704","11,292","11,482","10,967","8,167","19,194","21,265","27,171","28,581"
2016,Gloucester,"105,436","3,321","13,857","8,373","3,621","10,909","4,459","8,330","3,524","3,267","4,484","2,967","3,695","6,649","9,551","14,714","3,715"
2016,Hudson,"253,321","10,248","22,994","15,317","11,500","19,011","10,247","27,614","9,996","9,683","9,508","9,818","9,434","19,101","20,290","28,123","20,437"
2016,Hunterdon,"47,195",598,"5,817","3,877",734,"7,075","1,028","10,060","1,767","1,500",422,918,"1,108","2,170","3,583","5,209","1,329"
2016,Mercer,"128,332","4,657","13,510","8,444","5,760","11,060","4,404","17,254","4,760","4,713","3,310","3,587","3,353","7,567","12,600","15,983","7,370"
2016,Middlesex,"283,661","8,838","31,772","23,415","9,745","29,421","8,441","31,251","8,714","9,839","10,277","9,102","8,881","18,396","24,352","38,896","12,321"
2016,Monmouth,"230,769","7,949","24,553","17,482","5,178","27,756","8,538","35,860","8,556","7,713","7,372","6,140","5,581","14,155","18,758","26,379","8,799"
2016,Morris,"181,059","3,992","21,266","15,816","3,926","22,608","3,556","38,705","3,745","4,824","5,301","4,571","3,465","11,350","11,777","21,264","4,893"
2016,Ocean,"224,308","9,761","22,542","14,448","10,417","14,823","12,184","13,472","12,172","10,437","10,903","9,848","6,809","15,379","22,024","29,483","9,606"
2016,Passaic,"163,868","7,765","16,471","9,678","10,349","13,040","7,430","12,855","7,290","6,378","6,439","6,558","6,120","10,666","14,127","18,036","10,666"
2016,Salem,"24,195","1,500","1,433","1,694","1,217","1,627","1,386",895,"1,170",994,"1,080","1,039","1,301","2,643","2,150","2,672","1,394"
2016,Somerset,"116,169","2,352","14,263","8,337","2,400","15,259","2,797","24,671","2,867","2,755","2,283","3,488","3,539","5,772","8,682","12,754","3,950"
2016,Sussex,"51,978",952,"6,471","4,387","1,252","5,951","1,372","5,628","1,329","1,640","1,590","1,328","1,586","3,095","4,866","8,810","1,721"
2016,Union,"187,922","5,534","16,198","12,806","6,755","15,829","6,582","23,882","8,343","6,324","6,070","8,305","6,360","12,318","19,786","22,281","10,549"
2016,Warren,"40,512",785,"6,451","2,421","1,034","3,434","2,454","3,539","1,491","1,930","1,309","1,025","1,402","3,397","4,142","4,367","1,331"
