Municipality,County,Muni/County,Year,Electric Utility,Residential Electricity,Commercial Electricity,Industrial Electricity,Street Lighting Electricity,Total Electricity (kWh),Natural Gas Utility,Residential Natural Gas,Commercial Natural Gas,Industrial Natural Gas,Street Lighting Natural Gas,Total Natural Gas (Therms)
Springfield Twp,Burlington,Springfield Twp (Burlington) Burlington,2022,PSEG/JCPL,"16,310,633","9,408,346","385,451","236,952","26,341,382",PSEG,"296,777","77,148",NDA,NDA,"373,925"
Tabernacle Twp,Burlington,Tabernacle Twp Burlington,2022,ACE,"34,249,771","12,207,240","289,012","69,014","46,815,037",SJG,"2,221,440","1,332,924",NDA,NDA,"3,554,363"
Washington Twp,Burlington,Washington Twp (Burlington) Burlington,2022,ACE,"3,182,241","2,621,019","261,633","16,965","6,081,858",NJNG,"117,211","142,008",CWC,NDA,"259,219"
Westampton Twp,Burlington,Westampton Twp Burlington,2022,PSEG,"32,870,547","74,036,266","5,541,954","581,666","113,030,433",PSEG,"1,927,632","2,146,219","189,768",NDA,"4,263,618"
Willingboro Twp,Burlington,Willingboro Twp Burlington,2022,PSEG,"92,989,042","46,410,676","1,016,627","2,143,291","142,559,636",PSEG,"11,408,865","1,669,792","29,093",NDA,"13,107,749"
Woodland Twp,Burlington,Woodland Twp Burlington,2022,JCPL/ACE,"6,694,151","9,672,110",46,"34,821","16,401,128",PSEG/SJG,"2,179","369,129",NDA,NDA,"371,308"
Wrightstown Boro,Burlington,Wrightstown Boro Burlington,2022,JCPL,"3,793,175","9,394,829","3,393,009",NDA,"16,581,013",PSEG,"122,409","647,683","7,032",NDA,"777,124"
Audubon Boro,Camden,Audubon Boro Camden,2022,PSEG,"29,046,965","23,346,713","91,806","366,799","52,852,283",PSEG,"2,534,992","1,020,820","14,063",NDA,"3,569,875"
Audubon Park Boro,Camden,Audubon Park Boro Camden,2022,PSEG,NDA,NDA,NDA,"2,502","2,502",NDA,NDA,NDA,NDA,NDA,NDA
Barrington Boro,Camden,Barrington Boro Camden,2022,PSEG,"23,029,562","19,867,526","205,044","483,140","43,585,272",PSEG/SJG,"1,766,220","959,649","761,065",NDA,"3,486,933"
Bellmawr Boro,Camden,Bellmawr Boro Camden,2022,PSEG,"35,322,322","45,890,326","16,714,491","656,576","98,583,715",PSEG,"2,856,201","4,286,410","637,262",NDA,"7,779,873"
Berlin Boro,Camden,Berlin Boro Camden,2022,ACE,"39,515,792","39,837,122","76,217,181","368,654","155,938,749",SJG,"5,384,419","3,203,016","52,210",NDA,"8,639,645"
